"voltage" "series1" "current_na_cm2"
"1" 0 -0.1574859 -2.624765
"2" 0.024 -0.1567039 -2.61173166666667
"3" 0.0485 -0.1549795 -2.58299166666667
"4" 0.0725 -0.1545746 -2.57624333333333
"5" 0.0965 -0.1529258 -2.54876333333333
"6" 0.1205 -0.1514998 -2.52499666666667
"7" 0.145 -0.1493752 -2.48958666666667
"8" 0.169 -0.1482245 -2.47040833333333
"9" 0.193 -0.1464877 -2.44146166666667
"10" 0.217 -0.1443298 -2.40549666666667
"11" 0.2415 -0.1421637 -2.369395
"12" 0.2655 -0.1395276 -2.32546
"13" 0.2895 -0.1372119 -2.286865
"14" 0.314 -0.1323815 -2.20635833333333
"15" 0.338 -0.128171 -2.13618333333333
"16" 0.362 -0.1219007 -2.03167833333333
"17" 0.386 -0.1151917 -1.91986166666667
"18" 0.4105 -0.1053501 -1.755835
"19" 0.4345 -0.09360757 -1.56012616666667
"20" 0.4585 -0.07865236 -1.31087266666667
"21" 0.483 -0.05957919 -0.9929865
"22" 0.507 -0.03638949 -0.6064915
"23" 0.531 -0.005661934 -0.0943655666666667
"24" 0.555 0.03116903 0.519483833333333
"25" 0.5795 0.07993912 1.33231866666667
"26" 0.6035 0.1397055 2.328425
"27" 0.6275 0.2129541 3.549235
"28" 0.6515 0.2990725 4.98454166666667
"29" 0.676 0.4020355 6.70059166666667
"30" 0.7 0.517175 8.61958333333333
