"voltage" "series1" "current_na_cm2"
"1" 0 -0.1902432 -3.17072
"2" 0.024 -0.1878446 -3.13074333333333
"3" 0.0485 -0.1855759 -3.09293166666667
"4" 0.0725 -0.182709 -3.04515
"5" 0.0965 -0.1794663 -2.991105
"6" 0.1205 -0.1764017 -2.94002833333333
"7" 0.145 -0.1728039 -2.880065
"8" 0.169 -0.1684702 -2.80783666666667
"9" 0.193 -0.1630107 -2.716845
"10" 0.217 -0.1579669 -2.63278166666667
"11" 0.2415 -0.1503106 -2.50517666666667
"12" 0.2655 -0.1422214 -2.37035666666667
"13" 0.2895 -0.132215 -2.20358333333333
"14" 0.314 -0.1188218 -1.98036333333333
"15" 0.338 -0.102294 -1.7049
"16" 0.362 -0.08280664 -1.38011066666667
"17" 0.386 -0.05869951 -0.978325166666667
"18" 0.4105 -0.02930897 -0.488482833333333
"19" 0.4345 0.003801325 0.0633554166666667
"20" 0.4585 0.04226653 0.704442166666667
"21" 0.483 0.08517349 1.41955816666667
"22" 0.507 0.1295401 2.15900166666667
"23" 0.531 0.1762543 2.93757166666667
"24" 0.555 0.222941 3.71568333333333
"25" 0.5795 0.2705283 4.508805
"26" 0.6035 0.3166597 5.27766166666667
"27" 0.6275 0.3621971 6.03661833333333
"28" 0.6515 0.406558 6.77596666666667
"29" 0.676 0.4517218 7.52869666666667
"30" 0.7 0.4968863 8.28143833333333
